src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,iperf3_connections,iperf3_runtime,tag,stdout_path,stderr_path,throughput_sent,throughput_recieved,cpu_utilization,success
aws:eu-south-1,PREMIUM,m5.8xlarge,azure:koreacentral,PREMIUM,Standard_D32_v5,64,5,aws:eu-south-1:PREMIUM_azure:koreacentral:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:eu-south-1:PREMIUM_azure:koreacentral:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:eu-south-1:PREMIUM_azure:koreacentral:PREMIUM.stderr,3440585303.221479,3161988478.858334,3.914327155877597,True
gcp:europe-west6-a,PREMIUM,n2-standard-32,aws:sa-east-1,PREMIUM,m5.8xlarge,64,5,gcp:europe-west6-a:PREMIUM_aws:sa-east-1:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:europe-west6-a:PREMIUM_aws:sa-east-1:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:europe-west6-a:PREMIUM_aws:sa-east-1:PREMIUM.stderr,2974112000.0,2806533000.0,26.517293,True
gcp:australia-southeast2-a,PREMIUM,n2-standard-32,azure:eastus,PREMIUM,Standard_D32_v5,64,5,gcp:australia-southeast2-a:PREMIUM_azure:eastus:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:australia-southeast2-a:PREMIUM_azure:eastus:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:australia-southeast2-a:PREMIUM_azure:eastus:PREMIUM.stderr,3567975000.0,3534303000.0,21.994809,True
aws:eu-west-2,PREMIUM,m5.8xlarge,gcp:asia-northeast2-a,PREMIUM,n2-standard-32,64,5,aws:eu-west-2:PREMIUM_gcp:asia-northeast2-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:eu-west-2:PREMIUM_gcp:asia-northeast2-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:eu-west-2:PREMIUM_gcp:asia-northeast2-a:PREMIUM.stderr,3205244955.0963025,3087896729.394848,3.8144659904528755,True
aws:eu-central-1,PREMIUM,m5.8xlarge,aws:ap-northeast-2,PREMIUM,m5.8xlarge,64,5,aws:eu-central-1:PREMIUM_aws:ap-northeast-2:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:eu-central-1:PREMIUM_aws:ap-northeast-2:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:eu-central-1:PREMIUM_aws:ap-northeast-2:PREMIUM.stderr,2503289745.53943,2220249146.28241,3.585603543593246,True
gcp:asia-south1-a,PREMIUM,n2-standard-32,gcp:us-west4-a,PREMIUM,n2-standard-32,64,5,gcp:asia-south1-a:PREMIUM_gcp:us-west4-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-south1-a:PREMIUM_gcp:us-west4-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-south1-a:PREMIUM_gcp:us-west4-a:PREMIUM.stderr,3341772000.0,3255061000.0,18.086379,True
gcp:asia-northeast3-a,PREMIUM,n2-standard-32,gcp:southamerica-west1-a,PREMIUM,n2-standard-32,64,5,gcp:asia-northeast3-a:PREMIUM_gcp:southamerica-west1-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-northeast3-a:PREMIUM_gcp:southamerica-west1-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-northeast3-a:PREMIUM_gcp:southamerica-west1-a:PREMIUM.stderr,3621446000.0,3548884000.0,17.145858,True
aws:ap-southeast-3,PREMIUM,m5.8xlarge,gcp:us-east1-b,PREMIUM,n2-standard-32,64,5,aws:ap-southeast-3:PREMIUM_gcp:us-east1-b:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:ap-southeast-3:PREMIUM_gcp:us-east1-b:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:ap-southeast-3:PREMIUM_gcp:us-east1-b:PREMIUM.stderr,3144639136.0876713,3020030761.5571337,3.708928184243153,True
gcp:asia-east2-a,PREMIUM,n2-standard-32,aws:eu-west-1,PREMIUM,m5.8xlarge,64,5,gcp:asia-east2-a:PREMIUM_aws:eu-west-1:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-east2-a:PREMIUM_aws:eu-west-1:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-east2-a:PREMIUM_aws:eu-west-1:PREMIUM.stderr,2069450000.0,1948485000.0,22.979254,True
gcp:asia-east1-a,PREMIUM,n2-standard-32,gcp:southamerica-east1-a,PREMIUM,n2-standard-32,64,5,gcp:asia-east1-a:PREMIUM_gcp:southamerica-east1-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-east1-a:PREMIUM_gcp:southamerica-east1-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-east1-a:PREMIUM_gcp:southamerica-east1-a:PREMIUM.stderr,2339338000.0,2273496000.0,17.324221,True
