src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,iperf3_connections,iperf3_runtime,tag,stdout_path,stderr_path,throughput_sent,throughput_recieved,cpu_utilization,success
azure:francecentral,PREMIUM,Standard_D32_v4,aws:ap-northeast-3,PREMIUM,m5.8xlarge,64,5,azure:francecentral:PREMIUM_aws:ap-northeast-3:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:francecentral:PREMIUM_aws:ap-northeast-3:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:francecentral:PREMIUM_aws:ap-northeast-3:PREMIUM.stderr,2543519803.205904,2278882788.6002526,4.326935272565738,True
gcp:northamerica-northeast1-a,PREMIUM,n2-standard-32,gcp:asia-southeast2-a,PREMIUM,n2-standard-32,64,5,gcp:northamerica-northeast1-a:PREMIUM_gcp:asia-southeast2-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:northamerica-northeast1-a:PREMIUM_gcp:asia-southeast2-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:northamerica-northeast1-a:PREMIUM_gcp:asia-southeast2-a:PREMIUM.stderr,3565952000.0,3489143000.0,16.518645,True
azure:switzerlandnorth,PREMIUM,Standard_D32_v4,gcp:australia-southeast2-a,PREMIUM,n2-standard-32,64,5,azure:switzerlandnorth:PREMIUM_gcp:australia-southeast2-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:switzerlandnorth:PREMIUM_gcp:australia-southeast2-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:switzerlandnorth:PREMIUM_gcp:australia-southeast2-a:PREMIUM.stderr,2436854084.379049,2312470623.2453365,3.9781577525666427,True
azure:australiaeast,PREMIUM,Standard_D32_v4,aws:eu-west-2,PREMIUM,m5.8xlarge,64,5,azure:australiaeast:PREMIUM_aws:eu-west-2:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:australiaeast:PREMIUM_aws:eu-west-2:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:australiaeast:PREMIUM_aws:eu-west-2:PREMIUM.stderr,1249852479.8384073,986695435.5723208,3.493249955188228,True
azure:francecentral,PREMIUM,Standard_D32_v4,gcp:europe-west4-a,PREMIUM,n2-standard-32,64,5,azure:francecentral:PREMIUM_gcp:europe-west4-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:francecentral:PREMIUM_gcp:europe-west4-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:francecentral:PREMIUM_gcp:europe-west4-a:PREMIUM.stderr,15253702305.220985,14972822609.3412,21.445847612424004,True
azure:switzerlandnorth,PREMIUM,Standard_D32_v4,aws:eu-west-2,PREMIUM,m5.8xlarge,64,5,azure:switzerlandnorth:PREMIUM_aws:eu-west-2:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:switzerlandnorth:PREMIUM_aws:eu-west-2:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:switzerlandnorth:PREMIUM_aws:eu-west-2:PREMIUM.stderr,9408783300.920856,9144386301.808035,14.606513676832646,True
aws:eu-north-1,PREMIUM,m5.8xlarge,aws:eu-south-1,PREMIUM,m5.8xlarge,64,5,aws:eu-north-1:PREMIUM_aws:eu-south-1:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:eu-north-1:PREMIUM_aws:eu-south-1:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:eu-north-1:PREMIUM_aws:eu-south-1:PREMIUM.stderr,4969420816.322123,4626921141.616471,6.889055361324663,True
azure:westeurope,PREMIUM,Standard_D32_v4,azure:swedencentral,PREMIUM,Standard_D32_v4,64,5,azure:westeurope:PREMIUM_azure:swedencentral:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:westeurope:PREMIUM_azure:swedencentral:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:westeurope:PREMIUM_azure:swedencentral:PREMIUM.stderr,15045702266.821968,14705450759.977783,19.995462493475884,True
gcp:europe-west6-a,PREMIUM,n2-standard-32,azure:norwayeast,PREMIUM,Standard_D32_v4,64,5,gcp:europe-west6-a:PREMIUM_azure:norwayeast:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:europe-west6-a:PREMIUM_azure:norwayeast:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:europe-west6-a:PREMIUM_azure:norwayeast:PREMIUM.stderr,6494766000.0,6389732000.0,67.970111,True
azure:uksouth,PREMIUM,Standard_D32_v4,gcp:northamerica-northeast2-a,PREMIUM,n2-standard-32,64,5,azure:uksouth:PREMIUM_gcp:northamerica-northeast2-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:uksouth:PREMIUM_gcp:northamerica-northeast2-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:uksouth:PREMIUM_gcp:northamerica-northeast2-a:PREMIUM.stderr,9272839635.858124,9149158619.79037,10.864987114744554,True
