src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,min_rtt,avg_rtt,max_rtt,mdev_rtt
azure:australiaeast,PREMIUM,Standard_D2_v3,gcp:us-east1-b,STANDARD,n2-standard-4,215.662,215.783,215.916,0.594
azure:centralindia,PREMIUM,Standard_D2_v3,gcp:us-east4-a,STANDARD,n2-standard-4,194.382,194.489,194.725,0.566
azure:norwayeast,PREMIUM,Standard_D2_v3,aws:sa-east-1,PREMIUM,m5.large,208.558,208.684,208.981,0.627
aws:us-west-1,PREMIUM,m5.large,gcp:us-west1-a,PREMIUM,n2-standard-4,21.816,21.954,22.098,0.199
azure:germanywestcentral,PREMIUM,Standard_D2_v3,gcp:southamerica-east1-a,PREMIUM,n2-standard-4,193.802,194.056,194.32,0.515
aws:us-east-2,PREMIUM,m5.large,gcp:europe-central2-a,PREMIUM,n2-standard-4,111.659,111.777,111.894,0.342
gcp:asia-northeast1-a,STANDARD,n2-standard-4,gcp:europe-west4-a,STANDARD,n2-standard-4,,,,
azure:swedencentral,PREMIUM,Standard_D2_v3,gcp:europe-north1-a,PREMIUM,n2-standard-4,12.892,13.086,13.182,0.178
azure:switzerlandnorth,PREMIUM,Standard_D2_v3,gcp:asia-east2-a,STANDARD,n2-standard-4,185.036,185.475,187.476,0.725
azure:westeurope,PREMIUM,Standard_D2_v3,gcp:asia-southeast2-a,PREMIUM,n2-standard-4,198.035,198.116,198.191,0.401
azure:eastus,PREMIUM,Standard_D2_v3,aws:ap-southeast-3,PREMIUM,m5.large,237.948,238.56,243.289,1.577
azure:switzerlandnorth,PREMIUM,Standard_D2_v3,gcp:europe-west2-a,PREMIUM,n2-standard-4,21.684,21.83,21.937,0.085
gcp:asia-south1-a,STANDARD,n2-standard-4,gcp:europe-west1-b,STANDARD,n2-standard-4,,,,
gcp:asia-south1-a,PREMIUM,n2-standard-4,gcp:europe-west1-b,PREMIUM,n2-standard-4,,,,
